IdOpinion,IdCliente,IdProducto,Fecha,Comentario,Clasificacion,PuntajeSatisfaccion,Fuente
63,5358,79,11/30/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
64,3632,82,6/6/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
65,6367,635,1/2/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
66,5529,889,12/10/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
67,84,317,4/23/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
68,2371,115,7/2/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
69,2560,933,8/8/2025,"No era lo que esperaba, muy decepcionado.",Negativa,1,EncuestaInterna
70,208,462,12/6/2024,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
71,7885,717,8/15/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
72,7614,609,7/7/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
73,6509,455,11/29/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
74,1488,637,10/8/2024,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
75,8128,503,3/21/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
76,2657,753,11/9/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
77,8303,236,10/24/2024,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
78,8796,791,11/2/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
79,8093,421,3/5/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
80,5311,112,5/28/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
81,4143,446,8/13/2025,"Excelente calidad, definitivamente volvería a comprar.",Positiva,4,EncuestaInterna
82,8005,627,8/20/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
83,705,48,9/15/2024,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
84,3792,337,1/3/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
85,8455,749,10/14/2024,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
86,5177,672,1/8/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
87,5361,774,11/4/2024,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
88,6865,864,12/26/2024,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
89,9351,971,4/27/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
90,4621,570,8/4/2025,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
91,3552,136,11/30/2024,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
92,1315,85,7/28/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
93,4734,152,11/15/2024,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
94,7080,801,6/11/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
95,5688,725,4/23/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
96,5127,332,3/9/2025,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
97,4002,697,2/3/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
98,8606,153,3/1/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
99,677,285,3/5/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
100,4532,970,8/28/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
101,850,710,10/22/2024,"No era lo que esperaba, muy decepcionado.",Negativa,1,EncuestaInterna
102,9156,443,7/21/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
103,5397,672,11/23/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
104,8901,929,12/15/2024,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
105,8473,87,2/13/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
106,2046,565,7/17/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
107,9046,377,2/2/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
108,3398,530,12/2/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
109,2410,266,1/30/2025,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
110,927,539,10/25/2024,"Excelente calidad, definitivamente volvería a comprar.",Positiva,4,EncuestaInterna
111,4701,443,9/3/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
112,274,693,4/12/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
113,6821,540,9/21/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
114,2309,771,9/9/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
115,1558,644,10/30/2024,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
116,2057,76,8/23/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
117,5784,703,4/5/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
118,9843,560,12/7/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
119,9485,893,11/25/2024,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
120,4194,46,2/2/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
121,5543,548,3/18/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
122,1108,747,7/25/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
123,3355,852,3/22/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
124,382,131,12/19/2024,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
125,3491,875,11/6/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
126,1780,909,4/23/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
127,1267,425,3/6/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
128,7340,940,5/29/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
129,8434,704,5/24/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
130,8234,980,7/1/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
131,4262,655,12/19/2024,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
132,5829,364,4/29/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
133,1866,649,1/12/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
134,8608,572,8/27/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
135,8293,197,7/23/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
136,6248,70,3/19/2025,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
137,4600,869,6/1/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
138,8720,157,3/18/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
139,9715,889,8/29/2025,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
140,821,637,6/5/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
141,2439,779,11/14/2024,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
142,1339,274,1/3/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
143,7504,454,4/4/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
144,8142,522,7/18/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
145,378,604,12/31/2024,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
146,4941,909,10/18/2024,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
147,8162,201,5/8/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
148,8492,570,2/4/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
149,1115,821,1/24/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
150,7991,889,8/21/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
151,6542,483,8/9/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
152,2335,783,7/29/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
153,947,467,4/17/2025,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
154,8582,978,10/30/2024,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
155,7282,857,9/10/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
156,1896,430,2/21/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
157,8328,735,12/28/2024,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
158,283,87,6/3/2025,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
159,930,146,8/10/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
160,826,644,2/24/2025,"No era lo que esperaba, muy decepcionado.",Negativa,1,EncuestaInterna
161,6587,919,1/16/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
162,804,487,7/2/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
163,7129,61,10/27/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
164,6238,565,4/16/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
165,1527,884,2/3/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
166,2313,215,3/16/2025,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
167,6680,126,10/23/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
168,9909,139,2/12/2025,"Excelente calidad, definitivamente volvería a comprar.",Positiva,4,EncuestaInterna
169,5304,705,5/11/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
170,7079,469,9/12/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
171,522,993,9/10/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
172,1214,538,6/16/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
173,6999,486,5/16/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
174,2494,10,6/27/2025,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
175,3525,703,6/23/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
176,868,386,9/12/2025,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
177,2057,523,4/28/2025,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
178,2231,891,11/9/2024,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
179,4815,716,8/26/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
180,4365,44,11/25/2024,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
181,4496,666,3/19/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
182,3043,378,8/13/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
183,8847,55,3/28/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
184,9376,930,11/9/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
185,8809,277,11/12/2024,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
186,3995,466,6/17/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
187,2988,777,2/9/2025,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
188,5113,215,1/24/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
189,9685,280,9/30/2024,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
190,7211,965,11/22/2024,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
191,4519,617,7/8/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
192,8124,360,11/13/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
193,2029,429,10/12/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
194,4465,990,3/12/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
195,3986,563,9/9/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
196,1169,602,3/9/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
197,878,130,3/11/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
198,3335,906,5/11/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
199,2896,736,4/1/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
200,6568,38,9/22/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
201,7719,104,12/3/2024,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
202,9918,459,7/13/2025,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
203,205,967,6/14/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
204,9617,828,5/18/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
205,9251,698,5/30/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
206,190,148,3/8/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
207,3773,408,3/11/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
208,791,420,2/10/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
209,9539,338,2/5/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
210,5775,936,12/27/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
211,3916,672,3/9/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
212,713,390,6/1/2025,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
213,8057,92,6/23/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
214,7560,346,12/4/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
215,9516,289,2/11/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
216,7297,596,9/22/2024,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
217,4943,179,10/14/2024,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
218,6610,608,2/22/2025,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
219,5644,610,4/24/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
220,3455,37,7/27/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
221,353,124,1/1/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
222,8237,959,4/26/2025,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
223,6003,957,7/11/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
224,1751,178,11/30/2024,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
225,9563,997,10/30/2024,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
226,6342,639,11/20/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
227,8241,541,9/25/2024,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
228,7725,301,10/16/2024,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
229,4623,224,4/18/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
230,1044,285,2/9/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
231,6845,474,12/3/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
232,8266,750,11/7/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
233,1677,547,5/26/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
234,3394,724,10/16/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
235,5975,159,9/24/2024,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
236,3054,824,7/18/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
237,9957,487,5/8/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
238,2898,426,1/2/2025,"Me encanta, es justo lo que necesitaba.",Positiva,4,EncuestaInterna
239,8280,407,12/17/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
240,9018,297,11/18/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
241,8962,946,1/26/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
242,4348,629,8/3/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
243,5667,260,6/8/2025,"No era lo que esperaba, muy decepcionado.",Negativa,2,EncuestaInterna
244,4864,16,8/29/2025,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
245,1276,602,5/1/2025,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
246,5468,823,9/1/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
247,3652,367,12/3/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
248,9828,553,2/27/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
249,7602,312,12/19/2024,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
250,3806,211,8/23/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
251,8038,339,1/23/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
252,1474,727,7/2/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,1,EncuestaInterna
253,9142,19,4/4/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
254,184,480,2/4/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
255,9804,538,8/25/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
256,6015,526,11/3/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
257,7503,88,2/10/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
258,5376,332,7/8/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
259,1649,20,1/24/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
260,2106,484,12/15/2024,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
261,1656,330,4/5/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
262,1138,40,1/9/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
263,3673,413,11/29/2024,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
264,7140,539,12/8/2024,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
